,address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
10,"""1210 8th Street SW, Unit 220""","""{'BikeParking': 'False', 'ByAppointmentOnly': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1'}""","""fcXOEZdXYeZqnQ3lGlOXmg""","""Local Services, Professional Services, Computers, Shopping, Home Services, IT Services & Computer Repair, Internet Service Providers, Web Design""","""Calgary""","""{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}""",1,51.041771,-114.081109,"""Nucleus Information Service""","""T2R 1L3""",5,2.0,"""AB"""
11,"""2450 E Indian School Rd""","""{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WiFi': ""u'no'"", 'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'Alcohol': ""u'none'"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True'}""","""1Dfx3zM-rW4n-31KeC8sJg""","""Restaurants, Breakfast & Brunch, Mexican, Tacos, Tex-Mex, Fast Food""","""Phoenix""","""{'Monday': '7:0-0:0', 'Tuesday': '7:0-0:0', 'Wednesday': '7:0-0:0', 'Thursday': '7:0-1:0', 'Friday': '7:0-1:0', 'Saturday': '7:0-1:0', 'Sunday': '7:0-0:0'}""",1,33.4951941,-112.0285876,"""Taco Bell""","""85016""",18,3.0,"""AZ"""
12,"""119 Landings Dr, Ste 101""","""{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'BikeParking': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'False', 'NoiseLevel': ""'average'"", 'RestaurantsGoodForGroups': 'True', 'GoodForDancing': 'True', 'CoatCheck': 'False', 'WiFi': ""'free'"", 'RestaurantsPriceRange2': '1', 'HappyHour': 'True', 'Alcohol': ""'beer_and_wine'"", 'ByAppointmentOnly': 'False', 'HasTV': 'True', 'RestaurantsReservations': 'True', 'BusinessAcceptsCreditCards': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}""}""","""5t3KVdMnFgAYmSl1wYLhmA""","""Bars, Nightlife, Pubs, Barbers, Beauty & Spas, Irish Pub""","""Mooresville""","""{'Monday': '10:0-1:0', 'Tuesday': '10:0-1:0', 'Wednesday': '10:0-1:0', 'Thursday': '10:0-1:0', 'Friday': '10:0-1:0', 'Saturday': '10:0-1:0', 'Sunday': '12:0-1:0'}""",1,35.5274098057,-80.8680032061,"""The Kilted Buffalo Langtree""","""28117""",9,3.5,"""NC"""
13,"""5981 Andrews Rd""","""{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'RestaurantsAttire': ""u'casual'"", 'Ambience': 'None', 'BusinessParking': 'None'}""","""fweCYi8FmbJXHCqLnwuk8w""","""Italian, Restaurants, Pizza, Chicken Wings""","""Mentor-on-the-Lake""","""{'Monday': '10:0-0:0', 'Tuesday': '10:0-0:0', 'Wednesday': '10:0-0:0', 'Thursday': '10:0-0:0', 'Friday': '10:0-1:0', 'Saturday': '10:0-1:0', 'Sunday': '10:0-0:0'}""",1,41.70852,-81.35955600000001,"""Marco's Pizza""","""44060""",16,4.0,"""OH"""
14,"""4145 Erie St""","""{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False'}""","""-K4gAv8_vjx8-2BxkVeRkA""","""Bakeries, Food""","""Willoughby""","""{'Tuesday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-17:0', 'Saturday': '10:0-17:0'}""",1,41.6398599,-81.4063963,"""Baby Cakes""","""44094""",7,3.0,"""OH"""
15,"""1455 16th Avenue""","""{'ByAppointmentOnly': 'False', 'BikeParking': 'True', 'WheelchairAccessible': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False'}""","""A98xW4qb7vOTguggHFs7Ng""","""Fitness & Instruction, Active Life, Yoga""","""Richmond Hill""","""{'Monday': '16:0-23:0', 'Tuesday': '16:0-23:0', 'Wednesday': '16:0-23:0', 'Thursday': '16:0-23:0', 'Friday': '16:0-21:30', 'Saturday': '15:30-17:30', 'Sunday': '17:30-19:45'}""",1,43.86150257600001,-79.3884991854,"""Hot Yoga Wellness""","""L4B 3G6""",4,4.0,"""ON"""
16,"""4848 E Cactus Rd, Ste 100""","""{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True'}""","""giC3pVVFxCRR89rApqklyw""","""Hair Stylists, Beauty & Spas, Hair Salons, Men's Hair Salons""","""Scottsdale""","""{'Monday': '0:0-0:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-19:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0'}""",1,33.600071,-111.977371,"""Knot Salon""","""85254""",5,5.0,"""AZ"""
17,"""1775 E Tropicana Ave, Ste 29""","""{'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': True, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': True, 'trendy': False, 'upscale': False, 'casual': False}"", 'HasTV': 'False', 'BYOBCorkage': ""'no'"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'WiFi': ""u'no'"", 'Caters': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}""","""PZ-LZzSlhSe9utkQYU8pFg""","""Restaurants, Italian""","""Las Vegas""","""nan""",0,36.10001629999999,-115.1285285,"""Carluccio's Tivoli Gardens""","""89119""",40,4.0,"""NV"""
18,"""nan""","""{'BusinessAcceptsCreditCards': 'True'}""","""nh_kQ16QAoXWwqZ05MPfBQ""","""Event Planning & Services, Photographers, Professional Services""","""Las Vegas""","""{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}""",1,36.1165487,-115.0881146,"""Myron Hensel Photography""","""89121""",21,5.0,"""NV"""
19,"""445 King Street W, Suite 101""","""{'AcceptsInsurance': 'True', 'ByAppointmentOnly': 'False', 'GoodForKids': 'False', 'WheelchairAccessible': 'False'}""","""zSpQmEBvRe3IhTUlMSA6HQ""","""Trainers, Health & Medical, Active Life, Physical Therapy, Gyms, Fitness & Instruction""","""Toronto""","""{'Monday': '6:0-22:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '6:0-22:0', 'Saturday': '8:0-18:0', 'Sunday': '9:0-18:0'}""",1,43.6450415,-79.39579859999998,"""Totum Life Science""","""M5V 1K4""",23,4.0,"""ON"""
20,"""450 Fremont St, Ste 179""","""{'GoodForKids': 'True'}""","""dFMxzHygTy6F873843dHAA""","""Arcades, Arts & Entertainment""","""Las Vegas""","""{'Monday': '11:0-0:0', 'Tuesday': '11:0-0:0', 'Wednesday': '11:0-0:0', 'Thursday': '11:0-0:0', 'Friday': '11:0-1:0', 'Saturday': '11:0-1:0', 'Sunday': '11:0-0:0'}""",1,36.169993,-115.140685,"""Fremont Arcade""","""89101""",38,4.5,"""NV"""
21,"""3650 N 5th, Ste 100""","""{'BusinessAcceptsCreditCards': 'True'}""","""lxnuq9wJiwLOPJ4uZU2ljg""","""Automotive, Car Dealers""","""North Las Vegas""","""{'Monday': '9:0-18:0', 'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-18:0', 'Saturday': '10:0-17:0'}""",1,36.22585150000001,-115.1328004,"""Las Vegas Motorcars""","""89032""",3,3.5,"""NV"""
22,"""6007 Dean Martin Dr""","""{'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '2', 'HasTV': 'True', 'Music': ""{'dj': True, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': True}"", 'GoodForKids': 'False', 'Alcohol': ""u'full_bar'"", 'NoiseLevel': ""'loud'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForDancing': 'True'}""","""KWywu2tTEPWmR9JnBc0WyQ""","""Nightlife, Arts & Entertainment, Bars, Strip Clubs, Adult Entertainment, Dance Clubs""","""Las Vegas""","""{'Thursday': '19:30-2:0', 'Friday': '19:30-3:0', 'Saturday': '19:30-3:0', 'Sunday': '19:30-2:0'}""",1,36.0801679,-115.1827558,"""Hunk Mansion""","""89118""",107,4.0,"""NV"""
23,"""Center Core - Food Court, Fl 3, Pittsburgh International Airport""","""{'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'DriveThru': 'False', 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'HasTV': 'False', 'OutdoorSeating': 'False'}""","""1RHY4K3BD22FK7Cfftn8Mg""","""Sandwiches, Salad, Restaurants, Burgers, Comfort Food""","""Pittsburgh""","""nan""",1,40.4961769456,-80.24601123640001,"""Marathon Diner""","""15231""",35,4.0,"""PA"""
24,"""7981 W Tropical Pkwy, Ste 120""","""{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True'}""","""BsMdebN4nZySpGTfXr-7yg""","""Women's Clothing, Shopping, Accessories, Fashion, Shoe Stores""","""Las Vegas""","""{'Monday': '10:0-20:0', 'Tuesday': '10:0-20:0', 'Wednesday': '10:0-20:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-20:0', 'Saturday': '10:0-20:0', 'Sunday': '11:0-18:0'}""",1,36.2715455,-115.26448390000002,"""Maurices""","""89149""",4,5.0,"""NV"""
25,"""6055 E Lake Mead Blvd""","""{'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'HappyHour': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'Caters': 'False', 'RestaurantsReservations': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}""","""tstimHoMcYbkSC4eBA1wEg""","""Mexican, Restaurants, Patisserie/Cake Shop, Food, Bars, Nightlife""","""Las Vegas""","""{'Monday': '11:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}""",1,36.1956146,-115.0405289,"""Maria's Mexican Restaurant & Bakery""","""89156""",184,4.5,"""NV"""
26,"""865 York Mills Road, Unit 1""","""{'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}""","""C9oCPomVP0mtKa8z99E3gg""","""Bakeries, Food""","""Toronto""","""{'Monday': '9:0-20:0', 'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-20:0', 'Saturday': '9:0-20:0', 'Sunday': '9:0-20:0'}""",1,43.75409310000001,-79.3495479,"""Bakery Gateau""","""M3B 1Y6""",8,4.5,"""ON"""
27,"""26 Bellair St""","""{'RestaurantsPriceRange2': '3', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}""","""C9keC4mWuXdl2mYFHZXudQ""","""Fashion, Sporting Goods, Men's Clothing, Shopping, Sports Wear""","""Toronto""","""{'Monday': '11:30-19:0', 'Tuesday': '11:30-19:0', 'Wednesday': '11:30-19:0', 'Thursday': '11:30-19:0', 'Friday': '11:30-19:0', 'Saturday': '11:30-18:0', 'Sunday': '12:0-17:0'}""",1,43.6707435,-79.3913851,"""Uncle Otis Clothing""","""M5R 2C7""",12,5.0,"""ON"""
28,"""3325 W Desert Inn Rd, Ste 101""","""{'BusinessAcceptsCreditCards': 'True'}""","""iojTeSaoPuxm4WeCzDUA6w""","""Car Rental, Windshield Installation & Repair, Auto Detailing, Hotels & Travel, Automotive, Towing, Body Shops""","""Las Vegas""","""{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '10:0-14:0'}""",1,36.129424,-115.184443,"""AW Collision""","""89102""",52,4.5,"""NV"""
29,"""1170 Queen Street W""","""{'WiFi': ""u'no'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'Caters': 'False'}""","""NDuUMJfrWk52RA-H-OtrpA""","""Juice Bars & Smoothies, Food, Restaurants, Fast Food, Vegan""","""Toronto""","""{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '9:0-21:0', 'Sunday': '9:0-21:0'}""",1,43.6428886,-79.4254291,"""Bolt Fresh Bar""","""M6J 1J5""",57,3.0,"""ON"""
30,"""8800 W Charleston Blvd""","""{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}""","""LB6ZyCfUzeX9OLdunHhnOQ""","""Shopping, Home & Garden, Department Stores, Men's Clothing, Fashion, Women's Clothing, Discount Store, Home Decor""","""Las Vegas""","""{'Monday': '9:0-23:0', 'Tuesday': '9:0-23:0', 'Wednesday': '9:0-23:0', 'Thursday': '9:0-23:0', 'Friday': '8:30-23:30', 'Saturday': '8:30-23:30', 'Sunday': '9:0-22:30'}""",1,36.161805,-115.2872775,"""Ross Dress for Less""","""89117""",38,3.5,"""NV"""
31,"""6875 N 21st Ave, Ste 118""","""nan""","""mNBp4KI2goFJKDB9VLGP9w""","""Automotive, Auto Repair""","""Phoenix""","""nan""",1,33.5380237,-112.1032008,"""JSE Automotive Services""","""85015""",4,5.0,"""AZ"""
32,"""1051 Bloor Street W""","""{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'True', 'GoodForKids': 'False', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'full_bar'"", 'OutdoorSeating': 'False', 'RestaurantsPriceRange2': '2', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'WiFi': ""u'free'"", 'RestaurantsTakeOut': 'False', 'HasTV': 'False', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsGoodForGroups': 'True', 'Caters': 'True'}""","""SP_YXIEwkFPPl_9anCYmpQ""","""Restaurants, Nightlife, Breakfast & Brunch, Vegan, Food, Tapas Bars, Bars, Southern, Coffee & Tea""","""Toronto""","""{'Tuesday': '9:0-18:0', 'Wednesday': '9:0-18:0', 'Thursday': '9:0-18:0', 'Friday': '9:0-2:0', 'Saturday': '10:0-2:0', 'Sunday': '10:0-15:0'}""",0,43.6604937,-79.432099,"""The Steady Cafe & Bar""","""M6H 1M4""",29,3.5,"""ON"""
33,"""9020 B Albemarle Rd""","""{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BikeParking': 'False', 'WiFi': ""'free'"", 'Caters': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}""","""irft4YkdNsww4DNf_Aftew""","""Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt""","""Charlotte""","""{'Monday': '11:30-20:30', 'Tuesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}""",0,35.21051,-80.690262,"""So Cool Frozen Yogurt""","""28227""",6,4.5,"""NC"""
34,"""3150 N Rainbow Blvd""","""{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}""","""HVPcIcqiJkrpD36xZFGN6g""","""Home Services, Real Estate, Financial Services, Banks & Credit Unions, Mortgage Brokers""","""Las Vegas""","""nan""",1,36.2166671,-115.2420267,"""Bank of America""","""89108""",19,1.5,"""NV"""
